State,Id,24_Pres,20_Pres,20-24_Pres,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct
HI,2,0.24956982,0.29512661,0.264755416666667,0.1613147,0.8386853,0.03120952,0.06589186,0.1755431,0.68201635,0.01852347
IA,1,-0.33304361,-0.27832194,-0.314803053333333,0.91025835,0.08974165,0.01867904,0.04207661,0.00299502,0.01062891,0.01306622
IA,2,0.06937894,0.12510912,0.0879556666666667,0.82417075,0.17582925,0.07324882,0.04879796,0.00219481,0.03382173,0.01561327
IA,3,0.04212217,0.09093875,0.0583943633333333,0.80024472,0.19975528,0.05408503,0.0739565,0.00331301,0.05245738,0.01551294
IA,4,-0.31855771,-0.26988452,-0.302333313333333,0.88306303,0.11693697,0.023968,0.054391,0.00232602,0.01428305,0.0190299
ID,1,-0.46213165,-0.41115322,-0.44513884,0.83842998,0.16157002,0.00763589,0.09548865,0.00349319,0.0157484,0.03640963
ID,2,-0.26850201,-0.20432347,-0.247109163333333,0.7911343,0.2088657,0.01568142,0.12494133,0.00482706,0.03127566,0.02974122
IL,1,0.34955099,0.46346365,0.387521876666667,0.35632247,0.64367753,0.50079457,0.12043889,0.00098725,0.01949427,0.01480016
IL,2,0.36924144,0.4460604,0.39484776,0.3539912,0.6460088,0.50120553,0.12666765,0.00093331,0.01279155,0.01633814
IL,3,0.37433258,0.47032737,0.406330843333333,0.46446313,0.53553687,0.04876525,0.41412068,0.00172345,0.07259277,0.03162046
IL,4,0.27381175,0.455709,0.334444166666667,0.26953643,0.73046357,0.06081896,0.60007329,0.00116451,0.06891595,0.04719187
IL,5,-0.02476608,0.000689770000000034,-0.0162807966666667,0.74503204,0.25496796,0.07671398,0.12551678,0.00090953,0.03205747,0.02088645
IL,6,0.07841196,0.14981789,0.102213936666667,0.63039072,0.36960928,0.09965472,0.16934819,0.00103182,0.08959792,0.01627738
IL,7,0.68031654,0.74680189,0.702478323333333,0.3523902,0.6476098,0.42816019,0.12371749,0.001345,0.09317436,0.01371127
IL,8,0.14983292,0.20322694,0.167630926666667,0.65978202,0.34021798,0.029616,0.13197694,0.00098288,0.16981951,0.01395555
IL,9,0.57943067,0.62295964,0.593940326666667,0.61806242,0.38193758,0.10436681,0.11532201,0.00154735,0.15261917,0.01479868
IL,10,0.1948362,0.2312641,0.206978833333333,0.6246983,0.3753017,0.07159998,0.20469195,0.00175965,0.08549061,0.02164079
IL,11,0.1302151,0.18517795,0.14853605,0.65172196,0.34827804,0.05157776,0.14815194,0.00113106,0.13620233,0.01585878
IL,12,-0.46226785,-0.45206387,-0.458866523333333,0.88774623,0.11225377,0.0508253,0.02318747,0.00105221,0.01189014,0.02035681
IL,13,-0.01870735,-0.01015345,-0.01585605,0.73515739,0.26484261,0.18748231,0.03241039,0.00128243,0.02039271,0.02133919
IL,14,0.07940171,0.13869299,0.09916547,0.58416586,0.41583414,0.06190264,0.27776054,0.00119494,0.06508146,0.02687187
IL,15,-0.40084756,-0.38220218,-0.394632433333333,0.87284494,0.12715506,0.05745707,0.03768548,0.0009407,0.00970815,0.01794603
IL,16,-0.19938452,-0.16754437,-0.188771136666667,0.84797684,0.15202316,0.04241521,0.07484817,0.00088188,0.01351487,0.01867388
IL,17,0.01499979,0.02185429,0.0172846233333333,0.75325927,0.24674073,0.11127619,0.05026928,0.00140973,0.06538637,0.0177137
IN,1,0.00515663000000005,0.08468967,0.0316676433333334,0.63150493,0.36849507,0.1894632,0.14360532,0.00091854,0.01835005,0.02105568
IN,2,-0.25900037,-0.21853517,-0.24551197,0.78842225,0.21157775,0.07024887,0.09793951,0.00107312,0.01995437,0.02192351
IN,3,-0.31361422,-0.3006276,-0.309285346666667,0.83199515,0.16800485,0.06581538,0.05384443,0.00113181,0.02750764,0.01864296
IN,4,-0.21682486,-0.19307439,-0.208908036666667,0.84210262,0.15789738,0.04074254,0.04579358,0.00563418,0.04702835,0.01909138
IN,5,0.03255374,0.02673808,0.0306151866666667,0.7679272,0.2320728,0.10666175,0.0533741,0.00120844,0.05355933,0.01552092
IN,6,-0.3530494,-0.33673866,-0.347612486666667,0.87237784,0.12762216,0.05893766,0.03402737,0.00088608,0.01122703,0.01978055
IN,7,0.23487555,0.26125859,0.243669896666667,0.52291897,0.47708103,0.29626536,0.11908537,0.0014862,0.04643739,0.02130331
IN,8,-0.30468095,-0.27831674,-0.29589288,0.87921661,0.12078339,0.05309923,0.03068628,0.00165398,0.01336077,0.01926833
IN,9,-0.45286407,-0.44062526,-0.448784466666667,0.90102408,0.09897592,0.01811288,0.03231306,0.00091463,0.02353153,0.0205715
KS,1,-0.52506934,-0.50743925,-0.519192643333333,0.80842277,0.19157723,0.02441894,0.11904437,0.0019132,0.01237205,0.03551373
KS,2,-0.09636084,-0.07024565,-0.0876557766666667,0.78416787,0.21583213,0.06935499,0.07937439,0.00290407,0.0284931,0.03840827
KS,3,0.12704018,0.13475979,0.129613383333333,0.70014888,0.29985112,0.09257974,0.12194241,0.00177972,0.06032075,0.0247119
KS,4,-0.2067755,-0.19056117,-0.201370723333333,0.7278005,0.2721995,0.07969474,0.11371403,0.00230339,0.04073781,0.04105602
KY,1,-0.46952649,-0.4220093,-0.453687426666667,0.86279642,0.13720358,0.07405503,0.02906145,0.00133648,0.01047888,0.02077599
KY,2,-0.45771426,-0.41045717,-0.441961896666667,0.86065638,0.13934362,0.0623985,0.03296308,0.00236741,0.01857452,0.0211573
KY,3,0.18754749,0.22308161,0.199392196666667,0.65598692,0.34401308,0.22053577,0.06840397,0.00166781,0.03753083,0.01875101
KY,4,-0.33961574,-0.31431763,-0.331183036666667,0.88274953,0.11725047,0.04118918,0.03403463,0.0015819,0.01715514,0.02013635
KY,5,-0.66035516,-0.61645748,-0.6457226,0.94180183,0.05819817,0.01899812,0.01321126,0.00056007,0.00514483,0.01822972
KY,6,-0.10150452,-0.05944522,-0.0874847533333333,0.80345208,0.19654792,0.09531066,0.05096288,0.00239695,0.02892908,0.01966419
LA,1,-0.38814218,-0.37802509,-0.384769816666667,0.64921223,0.35078777,0.19619885,0.09865566,0.00105225,0.02797416,0.03083648
LA,2,0.37366998,0.39561352,0.380984493333333,0.37842289,0.62157711,0.49311174,0.08864068,0.00117981,0.0358447,0.01622359
