id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"6","6","765287","0.00019698","0.55585312","0.43759267","0.43312653","0.56687347","0.47374502","0.06596363","0.00114331","0.01614886","0.01917881","582518","0.11826045",#2020ff,"0.5"
"7","7","764771","-0.00047741","0.54878667","0.4381889","0.58050956","0.41949044","0.18772997","0.08256935","0.00143085","0.13465256","0.01433535","595451","0.11059777",#2020ff,"0.5"
"8","8","764930","-0.00026961","0.28639893","0.7101701","0.64315529","0.35684471","0.25722696","0.06894175","0.00158378","0.01446426","0.01892606","580258","-0.42377117",#960018,"0.5"
"9","9","764598","-0.00070352","0.20377837","0.79109755","0.81408335","0.18591665","0.05715245","0.08496333","0.00097011","0.01755761","0.02642453","595810","-0.58731918",#960018,"0.5"
"10","10","764608","-0.00069045","0.55077101","0.44048466","0.54387733","0.45612267","0.31545895","0.06909696","0.00169493","0.05854419","0.01797736","592356","0.11028635",#2020ff,"0.5"
"11","11","765086","-6.572e-05","0.55594918","0.4326561","0.53456179","0.46543821","0.14492398","0.15849436","0.00138007","0.15090653","0.01839807","590551","0.12329308",#2020ff,"0.5"
"12","12","764610","-0.00068783","0.55426361","0.43344447","0.39213219","0.60786781","0.2494249","0.23085805","0.00141157","0.12242437","0.02269947","568163","0.12081914",#2020ff,"0.5"
"13","13","765894","0.0009903","0.56321523","0.43180412","0.41863819","0.58136181","0.51264069","0.04521162","0.00143542","0.01470084","0.01547688","591463","0.13141111",#2020ff,"0.5"
"14","14","765259","0.00016038","0.26115822","0.73230269","0.77883838","0.22116162","0.07819167","0.09710346","0.00112901","0.01894589","0.02763859","586354","-0.47114447",#960018,"0.5"
"1","1","727502","-0.00018347","0.5962742","0.38241737","0.31815095","0.68184905","0.02401282","0.09569419","0.28379491","0.4325984","0.03034013","568488","0.21385683",#00008b,"0.5"
