id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"5","5","721519","-0.00027054","0.45243919","0.51931244","0.69728532","0.30271468","0.07410767","0.15534264","0.00715742","0.04189927","0.03668179","564449","-0.06687325",#ff8787,"0.5"
"6","6","722098","0.00053172","0.50896788","0.46451733","0.75832113","0.24167887","0.0418194","0.10044252","0.00317581","0.0760653","0.02349291","545058","0.04445055",#a4a4ff,"0.5"
"7","7","721975","0.00036129","0.58528135","0.38626556","0.76498476","0.23501524","0.01893944","0.13813405","0.00242511","0.04913707","0.0300259","576469","0.19901579",#00008b,"0.5"
"8","8","721485","-0.00031765","0.56727831","0.40365969","0.45801264","0.54198736","0.10478288","0.35679587","0.00483562","0.06033699","0.04062809","540365","0.16361862",#2020ff,"0.5"
"1","1","721936","0.00103607","0.65033476","0.33152906","0.55661611","0.44338389","0.18593845","0.18368157","0.00156985","0.07296846","0.01455523","572028","0.3188057",#00008b,"0.5"
"2","2","720885","-0.00042125","0.53187777","0.4512168","0.81067488","0.18932512","0.04949698","0.076383","0.00186704","0.04175577","0.02069784","585955","0.08066097",#7676ff,"0.5"
"3","3","721393","0.00028314","0.5461204","0.43389265","0.65938219","0.34061781","0.13598764","0.14489446","0.00126995","0.05387163","0.01479149","582700","0.11222775",#2020ff,"0.5"
"4","4","720277","-0.0012643","0.62263268","0.3618458","0.57372595","0.42627405","0.14695464","0.20820406","0.00137467","0.06149264","0.01256121","555042","0.26078688",#00008b,"0.5"
"5","5","721453","0.00036634","0.48380102","0.50124863","0.72834968","0.27165032","0.07502851","0.14101956","0.00139319","0.03312107","0.01508626","573502","-0.01744761",#ffc7c7,"0.5"
"1","1","989948","0","0.56567569","0.41948412","0.62437671","0.37562329","0.22762886","0.08666531","0.001349","0.04834195","0.01994402","783543","0.14619157",#2020ff,"0.5"
"1","1","769572","0.00045863","0.30809179","0.67711506","0.71997717","0.28002283","0.13724982","0.06679952","0.0037943","0.04229988","0.03178636","606172","-0.36902327",#960018,"0.5"
"2","2","769202","-2.238e-05","0.53509469","0.44847141","0.59128576","0.40871424","0.25974393","0.08665734","0.00154682","0.04752581","0.01734111","622567","0.08662328",#6f6fff,"0.5"
"3","3","769842","0.00080963","0.26722822","0.72189438","0.74156804","0.25843196","0.12872413","0.08437031","0.00188531","0.01921532","0.02553295","621119","-0.45466616",#960018,"0.5"
"4","4","768646","-0.00074519","0.32693314","0.65866493","0.76113914","0.23886086","0.08960291","0.07991561","0.0026078","0.04587216","0.02078548","598206","-0.33173179",#960018,"0.5"
